Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Friday, January 8, 2021",2301,99.14,0.272,240.67,17.47,88.21,122.56,14.6,0,1410.3
 Breakfast,260,9.95,0,13.99,,,29.17,,,
  Карат Творог Зерненый 4%,200,8,,4,,,28,,,
"   2 x 100г, 200 g"
  Простоквашино Десертная Сметана с Черникой,25,1.95,,1.59,,,0.37,,,
   15 g
  Окей Виноград,35,0,0,8.4,,,0.8,,,
   80 g
 Lunch,870,58.53,,56.72,,,28.75,,,
  Слата Рис с Курицей ,498,27.78,,48.22,,,13,,,
"   2 1/2 x 100г, 250 g"
  Макси Салат Греческий,372,30.75,,8.5,,,15.75,,,
"   2 1/2 x 100г, 250 g"
 Dinner,802,26.94,0.188,92.92,9.1,53.99,53.26,12,0,1162
  Макароны Отварные,154,0.91,0.171,30.06,1.8,0.55,5.65,2,0,
   150 g
  Окей Окорок Куриный Гриль,407,25.52,,0.22,,,44.22,,,
   220 g
  Курага,241,0.51,0.017,62.64,7.3,53.44,3.39,10,0,1162
   100 g
 Snacks/Other,369,3.72,0.084,77.04,8.37,34.22,11.38,2.6,0,248.3
  Простоквашино Творог 5%,73,3,0,1.8,,,9.6,,,
   60 g
  Фруто Няня Сок Тыквенный,128,0,0,32.1,0,0,0,0,0,0
"   3 x 100мл, 300 ml"
  Перекресток Виноград Белый,84,0.26,0.06,21.84,1.17,20.12,0.78,2.6,0,248.3
   130 g
  Груша,84,0.46,0.024,21.3,7.2,14.1,1,0,0,
   200 g

"Saturday, January 9, 2021",2620,100.87,0.08,333.98,1.25,15.5,99.51,28.75,,306.5
 Breakfast,752,34.98,0.08,94.42,0.75,9,15.64,0.75,,268.5
  Ikea Каша Манная ,420,16.8,,54.7,,,11.6,,,
"   1 порция, 250 g"
  Куряночка Масло Сливочное,117,12.5,,0.42,,,0.6,,,
"   1/4 x 100г, 25 g"
  Пятерочка Банан,67,0.22,0.08,17.25,0.75,9,0.82,0.75,,268.5
"   3/4 x 100г, 75 g"
  ВкусВилл Чурчхела Грецкий Орех с Гранатовым Соком,148,5.46,,22.05,,,2.62,,,
   35 g
 Lunch,626,20.45,,86.55,,,24.1,,,
  Табрис Рис Вареный,436,6.45,,86.55,,,8.1,,,
"   1 1/2 x 100г, 150 g"
  Петелинка Курица,190,14,,0,,,16,,,
"   100г, 100 g"
 Dinner,737,26.33,,92.46,,,34.05,,,
  Важная Рыба Ролл Филадельфия ,496,18,,66,,,19,,,
"   8 штучек, 260 g"
  Menza Том Ям,241,8.33,,26.46,,,15.05,,,
   262 g
 Snacks/Other,505,19.11,0,60.55,0.5,6.5,25.72,28,,38
  Простоквашино Творог 5%,157,6.5,0,3.9,,,20.8,,,
   130 g
  J7 Полезный Завтрак Персик-Манго-Яблоко,32,0.05,,7.5,0.5,6.5,0.25,0,,
"   1/2 x 100мл, 50 ml"
  Простоквашино Десертная Сметана с Черникой,84,6.5,,5.3,,,1.25,,,
"   1/2 x 100г, 50 g"
  ВкусВилл Чурчхела Грецкий Орех с Гранатовым Соком,148,5.46,,22.05,,,2.62,,,
   35 g
  Лукас Груша,84,0.6,,21.8,,,0.8,28,,38
"   2 x 100г, 200 g"

"Sunday, January 10, 2021",1765,39.02,0.07,326.8,0.7,8.4,102.91,0.7,,250.6
 Breakfast,310,11.91,0.07,44.5,0.7,8.4,7.56,0.7,,250.6
  Славянская Трапеза Каша Овсяная Молочная,203,6.75,,28.35,,,6.75,,,
   270 g
  Пятерочка Банан,62,0.21,0.07,16.1,0.7,8.4,0.77,0.7,,250.6
   70 g
  Belorus Export Масло Сливочное,45,4.95,,0.05,,,0.04,,,
   6 g
 Lunch,225,9,,22.5,,,13.5,,,
  Суши Шоп Куриный Суп,225,9,,22.5,,,13.5,,,
"   1 1/2 x 1 чашка, 450 g"
 Dinner,253,7.26,,75.72,,,40.02,,,
  Алтайская Сказка Гречка Вареная,124,3.96,,75.72,,,15.12,,,
   120 g
  Глобус Хек,129,3.3,,0,,,24.9,,,
"   1 1/2 x 100г, 150 g"
 Snacks/Other,977,10.85,,184.08,,0,41.83,,,
  Славмо Творог Обезжиренный,142,0,,4.95,,0,27,,,
"   1 1/2 x 100г, 150 g"
  Здоровый Продукт Печенье Зерновое,138,5.1,,18.9,,,4.2,,,
   30 g
  Фруто Няня Сок Яблоко и Вишня с Мякотью,120,0,,30,,,0,,,
"   2 1/2 x 100мл, 250 ml"
  Super Nut Чурчхела Грецкий Орех и Вишня,143,5.25,,22.05,,,1.75,,,
   35 g
  Хлебозавод 3 Хлеб Бездрожжевой,125,0.5,,25.5,,,4,,,
"   1/2 x 100г, 50 g"
  ВкусВилл Курага,187,0,,52.72,,,4.16,,,
   80 g
  Семушка Финики,122,0,,29.96,,,0.72,,,
   40 g

"Monday, January 11, 2021",2940,75.46,0,437.81,16.13,13,121.9,187.88,,158.3
 Breakfast,1076,27.5,,162.31,9.73,0,38.43,19.08,,19.5
"  Домашкино Молоко 2,5",371,17.5,,32.9,,,21,,,
"   7 x 100мл, 700 ml"
  Щедрые Пшеничные Хлебцы,20,0.15,,3.9,0.73,0,0.66,19.08,,19.5
   6 g
  Hochland Сливочный Плавленный Сыр ,17,1.55,,0.29,,,0.59,,,
   6 g
  Ясно Солнышко Хлопья 4 Злака,340,3,,63,9,,11,,,
"   100г, 100 g"
  Termer Финики,122,0.2,,26.52,,,0.88,,,
   40 g
  Ашан Цукаты ,68,0,,16.8,,,0.1,,,
   20 g
  Здоровый Продукт Печенье Зерновое,138,5.1,,18.9,,,4.2,,,
   30 g
 Lunch,641,28.36,,67.26,5.4,,29.26,168.8,,138.8
  Глобус Гурмэ Суп Куриный,454,22,,41.5,,,22.5,,,
"   5 x 100г, 500 g"
  Щедрые Хлебцы Ржаные,129,1.2,,24.8,5.4,,4.8,168.8,,138.8
   40 g
  Hochland Сливочный Плавленный Сыр ,58,5.16,,0.96,,,1.96,,,
   20 g
 Dinner,521,6.7,,90,,,26.35,,,
  Глобус Хек,86,2.2,,0,,,16.6,,,
"   100г, 100 g"
  Каждый День Пюре Картофельное,435,4.5,,90,,,9.75,,,
"   1 1/2 x 100г, 150 g"
 Snacks/Other,702,12.9,0,118.24,1,13,27.86,0,,
  Премия Курага,234,0,,55,,,5.2,,,
"   100г, 100 g"
  Каждый День Финики Сушеные,116,0,0,28,,,0.8,,,
   40 g
  На Зубок Изюм ,52,0,,14.2,,,0.4,,,
   20 g
  Славмо Творог Обезжиренный,95,0,,3.3,,0,18,,,
"   100г, 100 g"
  J7 Полезный Завтрак Персик-Манго-Яблоко,65,0.1,,15,1,13,0.5,0,,
"   100мл, 100 ml"
  Good Food Грецкий Орех,140,12.8,,2.74,,,2.96,,,
   20 g

"Tuesday, January 12, 2021",1581,49.31,0.1,412.42,1,12,109.11,1,,358
 Breakfast,313,9.95,,82.61,,,33.85,,,
  Алтайская Сказка Гречка Вареная,103,3.3,,63.1,,,12.6,,,
"   100г, 100 g"
  Наша Ряба Грудка Вареная,62,0.81,,0.23,,,13.41,,,
   45 g
  Магнит Яйцо Варёное ,80,5.8,,0.4,,,6.45,,,
"   1/2 x 100г, 50 g"
  Стебель бамбука Кисло-Сладкий Соус,10,0.04,,2.4,,,0.09,,,
   15 g
  ВкусВилл Курага,58,0,,16.48,,,1.3,,,
"   1/4 x 100г, 25 g"
 Lunch,907,27.97,,209.13,,,41.83,,,
  Алтайская Сказка Гречка Вареная,154,4.95,,94.65,,,18.9,,,
"   1 1/2 x 100г, 150 g"
  Europek Суп Куриный,500,16,,80,,,9,,,
"   2 x 100г, 200 g"
  Лакомства для Здоровья Шоколад 77%,54,4.49,,3.03,,,0.98,,,
   10 g
  Премия Курага,94,0,,22,,,2.08,,,
   40 g
  Mixbar Изюм,40,0.03,,9.45,,,0.37,,,
   15 g
  Птица Кубани Куриная Грудка,65,2.5,,0,,,10.5,,,
"   1/2 x 100г, 50 g"
 Dinner,361,11.39,0.1,120.68,1,12,33.43,1,,358
  Алтайская Сказка Гречка Вареная,154,4.95,,94.65,,,18.9,,,
"   1 1/2 x 100г, 150 g"
  Глобус Хек,64,1.65,,0,,,12.45,,,
"   3/4 x 100г, 75 g"
  Пятерочка Банан,89,0.3,0.1,23,1,12,1.1,1,,358
"   100г, 100 g"
  Лакомства для Здоровья Шоколад 77%,54,4.49,,3.03,,,0.98,,,
   10 g
 Snacks/Other,,,,,,,,,,

"Wednesday, January 13, 2021",1913,102.14,0,176.61,,5.2,120.98,,,
 Breakfast,439,33.04,,6.4,,0,28.7,,,
  Самбери Омлет,268,18.6,,6.4,,,18.6,,,
"   2 x 100г, 200 g"
  Монастырский Двор Сыр,65,4.94,,0,,0,5.1,,,
   20 g
  Рублевский МПЗ Сосиски Сливочные,106,9.5,,0,,,5,,,
"   1/2 x 100г, 50 g"
 Lunch,342,7.62,0,89.75,,5.2,28.37,,,
  Алтайская Сказка Гречка Вареная,103,3.3,,63.1,,,12.6,,,
"   100г, 100 g"
  Ашан Яичница Глазунья,84,3.25,,0.35,,,5.56,,,
   35 g
  Глобус Хек,30,0.77,,0,,,5.81,,,
   35 g
  Heinz Кукуруза Сладкая,50,0,0,11,,5.2,2,,,
"   100г, 100 g"
  Хлебозавод 3 Хлеб Бездрожжевой,75,0.3,,15.3,,,2.4,,,
   30 g
 Dinner,557,44.88,,23.66,,0,17.56,,,
  Увелка Гречка Вареная,89,0.9,,17.6,,,3.6,,,
"   100г, 100 g"
  Мираторг Котлета Говяжья,360,35,,0,,0,12,,,
"   100г, 100 g"
  Лакомства для Здоровья Шоколад 77%,108,8.98,,6.06,,,1.96,,,
   20 g
 Snacks/Other,575,16.6,,56.8,,0,46.35,,,
  Беллакт Творог Зерновой со Сливками,93,4,,2,,,12.1,,,
"   100г, 100 g"
  Славмо Творог Обезжиренный,95,0,,3.3,,0,18,,,
"   100г, 100 g"
  Mixbar Изюм,132,0.1,,31.5,,,1.25,,,
"   1/2 x 100г, 50 g"
  Магнит Кефир 2.5%,255,12.5,,20,,,15,,,
"   5 x 100мл, 500 ml"

"Thursday, January 14, 2021",2499,60.56,,395.98,9,,85.45,,,345
 Breakfast,1026,16.56,,188.83,9,,26.85,,,
  Ясно Солнышко Хлопья 4 Злака,340,3,,63,9,,11,,,
"   100г, 100 g"
  Милград Молоко,150,8,,11.75,,,7.5,,,
"   2 1/2 x 100г, 250 g"
  Leonardo Кукурузные Хлопья,390,1,,89,,,6.5,,,
"   100г, 100 g"
  Mixbar Изюм,92,0.07,,22.05,,,0.87,,,
   35 g
  Лакомства для Здоровья Шоколад 77%,54,4.49,,3.03,,,0.98,,,
   10 g
 Lunch,662,13.25,,105.15,,,27.1,,,
  Чистая Крупа Пшеничная Крупа,310,1,,63,,,12,,,
"   100г, 100 g"
  С Пылу с Жару Котлеты Говяжьи,200,12,,9,,,14,,,
"   100г, 100 g"
  Termer Финики,152,0.25,,33.15,,,1.1,,,
